Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	PINK1-AS	100861548		PINK1 antisense RNA		7	0.821	0.115		0.03		1.0	3	9	2015.0	2020.0
Parkinson Disease	C0030567	LRPPRC	10128	P42704	leucine rich pentatricopeptide repeat containing		220	0.493	0.769	2.3019e-10	0.03		1.0	3	0	2011.0	2016.0
Parkinson Disease	C0030567	TRAP1	10131	Q12931	TNF receptor associated protein 1	Chaperone	90	0.59	0.615	1.5965e-29	0.03		1.0	3	0	2007.0	2017.0
Parkinson Disease	C0030567	CDKN2A	1029	P42771;Q8N726	cyclin dependent kinase inhibitor 2A		1314	0.3	0.885	0.39474	0.03		1.0	3	3	2007.0	2013.0
Parkinson Disease	C0030567	CDKN2D	1032	P55273	cyclin dependent kinase inhibitor 2D		110	0.547	0.769	0.49473	0.03		1.0	3	0	2012.0	2018.0
Parkinson Disease	C0030567	RAB10	10890	P61026	RAB10, member RAS oncogene family		21	0.736	0.192	0.97213	0.03		1.0	3	0	2018.0	2018.0
Parkinson Disease	C0030567	FAF1	11124	Q9UNN5	Fas associated factor 1		49	0.666	0.731	0.99895	0.03		1.0	3	0	2008.0	2019.0
Parkinson Disease	C0030567	PSIP1	11168	O75475	PC4 and SFRS1 interacting protein 1	Signaling	210	0.49	0.846	0.99668	0.03		1.0	3	0	2014.0	2019.0
Parkinson Disease	C0030567	CHRM3	1131	P20309	cholinergic receptor muscarinic 3	G-protein coupled receptor	284	0.464	0.885	0.99253	0.03		1.0	3	0	2018.0	2019.0
Parkinson Disease	C0030567	CLU	1191	P10909	clusterin		412	0.426	0.885	7.8072e-05	0.03		1.0	3	1	2011.0	2017.0
Parkinson Disease	C0030567	ADH1B	125	P00325	alcohol dehydrogenase 1B (class I), beta polypeptide	Enzyme	224	0.502	0.846	9.934e-07	0.03		0.667	3	3	2016.0	2020.0
Parkinson Disease	C0030567	ADH1C	126	P00326	alcohol dehydrogenase 1C (class I), gamma polypeptide	Enzyme	146	0.547	0.731		0.03		1.0	3	2	2005.0	2020.0
Parkinson Disease	C0030567	PROKR2	128674	Q8NFJ6	prokineticin receptor 2	G-protein coupled receptor	164	0.538	0.731	2.4388e-06	0.03		1.0	3	0	2015.0	2019.0
Parkinson Disease	C0030567	PACRG	135138	Q96M98	parkin coregulated		19	0.722	0.308	2.4288e-07	0.03		1.0	3	1	2003.0	2007.0
Parkinson Disease	C0030567	CTSL	1514	P07711	cathepsin L	Enzyme	225	0.488	0.846	0.0080454	0.03		1.0	3	0	2017.0	2020.0
Parkinson Disease	C0030567	CX3CR1	1524	P49238	C-X3-C motif chemokine receptor 1	G-protein coupled receptor	310	0.457	0.885	0.061371	0.03		1.0	3	2	2012.0	2018.0
Parkinson Disease	C0030567	CYP2B6	1555	P20813	cytochrome P450 family 2 subfamily B member 6		388	0.428	0.846	1.9303e-10	0.03		1.0	3	0	1994.0	1998.0
Parkinson Disease	C0030567	DCTN1	1639	Q14203	dynactin subunit 1	Chaperone	116	0.597	0.5	0.084251	0.03		0.667	3	0	2009.0	2018.0
Parkinson Disease	C0030567	DNMT1	1786	P26358	DNA methyltransferase 1	Epigenetic regulator	496	0.406	0.885	1.0	0.03		1.0	3	0	2011.0	2017.0
Parkinson Disease	C0030567	AGT	183	P01019	angiotensinogen	Enzyme modulator	765	0.367	0.923	4.9706e-08	0.03		1.0	3	0	2016.0	2018.0
Parkinson Disease	C0030567	AGTR1	185	P30556	angiotensin II receptor type 1	G-protein coupled receptor	440	0.423	0.846	0.00053161	0.03		1.0	3	0	2017.0	2018.0
Parkinson Disease	C0030567	MARK2	2011	Q7KZI7	microtubule affinity regulating kinase 2	Kinase	115	0.555	0.692	0.99999	0.03		1.0	3	0	2006.0	2018.0
Parkinson Disease	C0030567	EPHB2	2048	P29323	EPH receptor B2	Kinase	649	0.374	0.846	0.99997	0.03		1.0	3	0	2014.0	2019.0
Parkinson Disease	C0030567	ALB	213	P02768	albumin	Transporter	1198	0.317	0.962	0.64329	0.03		1.0	3	0	2008.0	2019.0
Parkinson Disease	C0030567	F2	2147	P00734	coagulation factor II, thrombin	Enzyme	490	0.415	0.885	0.0011118	0.03		1.0	3	0	2006.0	2018.0
Parkinson Disease	C0030567	FKBP1AP1	2282		FKBP prolyl isomerase 1A pseudogene 1		26	0.7	0.538		0.03		1.0	3	0	2011.0	2018.0
Parkinson Disease	C0030567	FKBP1AP2	2283		FKBP prolyl isomerase 1A pseudogene 2		26	0.7	0.538		0.03		1.0	3	0	2011.0	2018.0
Parkinson Disease	C0030567	FKBP1AP3	2284		FKBP prolyl isomerase 1A pseudogene 3		26	0.7	0.538		0.03		1.0	3	0	2011.0	2018.0
Parkinson Disease	C0030567	FKBP1AP4	2285		FKBP prolyl isomerase 1A pseudogene 4		26	0.7	0.538		0.03		1.0	3	0	2011.0	2018.0
Parkinson Disease	C0030567	FKBP4	2288	Q02790	FKBP prolyl isomerase 4	Enzyme	149	0.532	0.769	0.15539	0.03		1.0	3	0	2010.0	2020.0
Parkinson Disease	C0030567	SBNO2	22904	Q9Y2G9	strawberry notch homolog 2	Enzyme	41	0.663	0.538	0.0070655	0.03		1.0	3	0	2007.0	2016.0
Parkinson Disease	C0030567	FOXO1	2308	Q12778	forkhead box O1		380	0.433	0.846	0.99725	0.03		1.0	3	0	2012.0	2019.0
Parkinson Disease	C0030567	NCS1	23413	P62166	neuronal calcium sensor 1		48	0.656	0.615	0.66434	0.03		0.667	3	0	2019.0	2019.0
Parkinson Disease	C0030567	MACF1	23499	Q9UPN3	microtubule actin crosslinking factor 1	Cellular structure	62	0.659	0.538	1.0	0.03		1.0	3	1	2017.0	2017.0
Parkinson Disease	C0030567	FTL	2512	P02792	ferritin light chain	Storage	135	0.559	0.692	1.6617e-09	0.03		0.667	3	0	2002.0	2018.0
Parkinson Disease	C0030567	GAP43	2596	P17677	growth associated protein 43		109	0.564	0.731	0.021461	0.03		1.0	3	0	2000.0	2019.0
Parkinson Disease	C0030567	LRP10	26020	Q7Z4F1	LDL receptor related protein 10		12	0.751	0.231	4.9806e-08	0.03		1.0	3	1	2018.0	2019.0
Parkinson Disease	C0030567	PTPN22	26191	Q9Y2R2	protein tyrosine phosphatase non-receptor type 22		400	0.438	0.846	3.4921e-21	0.03		1.0	3	0	2012.0	2014.0
Parkinson Disease	C0030567	NOX1	27035	Q9Y5S8	NADPH oxidase 1		142	0.536	0.808	8.6564e-08	0.03		1.0	3	0	2012.0	2017.0
Parkinson Disease	C0030567	VPS41	27072	P49754	VPS41 subunit of HOPS complex	Transporter	8	0.821	0.192	4.4224e-18	0.03		1.0	3	0	2010.0	2018.0
Parkinson Disease	C0030567	COQ2	27235	Q96H96	coenzyme Q2, polyprenyltransferase	Enzyme	139	0.59	0.731	0.0013386	0.03		0.667	3	4	2015.0	2018.0
Parkinson Disease	C0030567	SGSM3	27352	Q96HU1	small G protein signaling modulator 3	Enzyme	259	0.469	0.808	3.4061e-15	0.03		1.0	3	0	2001.0	2018.0
Parkinson Disease	C0030567	GLUD2	2747	P49448	glutamate dehydrogenase 2	Enzyme	52	0.678	0.423	0.03152	0.03		1.0	3	1	2010.0	2013.0
Parkinson Disease	C0030567	GPX4	2879	P36969	glutathione peroxidase 4	Enzyme	201	0.516	0.808	4.7865e-05	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	GRIA2	2891	P42262	glutamate ionotropic receptor AMPA type subunit 2	Ion channel	110	0.573	0.692	0.99916	0.03		1.0	3	0	2018.0	2020.0
Parkinson Disease	C0030567	GRIN2D	2906	O15399	glutamate ionotropic receptor NMDA type subunit 2D	Ion channel	82	0.65	0.538	0.99996	0.03		1.0	3	0	2016.0	2019.0
Parkinson Disease	C0030567	GRM2	2912	Q14416	glutamate metabotropic receptor 2	G-protein coupled receptor	104	0.582	0.577	0.12019	0.03		1.0	3	0	2018.0	2019.0
Parkinson Disease	C0030567	SLC40A1	30061	Q9NP59	solute carrier family 40 member 1	Transporter	101	0.57	0.731	0.98835	0.03		1.0	3	0	2010.0	2018.0
Parkinson Disease	C0030567	HMOX2	3163	P30519	heme oxygenase 2		31	0.678	0.577	0.00026198	0.03		1.0	3	2	2011.0	2017.0
Parkinson Disease	C0030567	APAF1	317	O14727	apoptotic peptidase activating factor 1		145	0.525	0.769	9.6242e-06	0.03		1.0	3	0	2001.0	2003.0
Parkinson Disease	C0030567	FOXA2	3170	Q9Y261	forkhead box A2	Transcription factor	143	0.528	0.769	0.74225	0.03		1.0	3	0	2010.0	2018.0
Parkinson Disease	C0030567	APEX1	328	P27695	apurinic/apyrimidinic endodeoxyribonuclease 1		305	0.458	0.846	1.9191e-07	0.03		1.0	3	1	2012.0	2017.0
Parkinson Disease	C0030567	APRT	353	P07741	adenine phosphoribosyltransferase		384	0.423	0.846	5.4539e-13	0.03		1.0	3	0	2012.0	2019.0
Parkinson Disease	C0030567	FAS	355	P25445	Fas cell surface death receptor		754	0.372	0.923	0.8117	0.03		1.0	3	0	2005.0	2018.0
Parkinson Disease	C0030567	IL1RN	3557	P18510	interleukin 1 receptor antagonist		701	0.373	0.923	0.030914	0.03		0.667	3	0	2010.0	2018.0
Parkinson Disease	C0030567	IL4	3565	P05112	interleukin 4		996	0.332	0.962	0.0047372	0.03		0.667	3	0	2014.0	2018.0
Parkinson Disease	C0030567	IL18	3606	Q14116	interleukin 18		750	0.365	0.923	0.030717	0.03		0.667	3	0	2011.0	2019.0
Parkinson Disease	C0030567	IREB2	3658	P48200	iron responsive element binding protein 2	Enzyme	82	0.619	0.577	0.99991	0.03		1.0	3	2	2002.0	2015.0
Parkinson Disease	C0030567	LAMP1	3916	P11279	lysosomal associated membrane protein 1	Transporter	120	0.542	0.769	0.8747	0.03		1.0	3	0	2018.0	2020.0
Parkinson Disease	C0030567	LDLR	3949	P01130	low density lipoprotein receptor		336	0.449	0.885	9.841e-24	0.03		0.667	3	1	2014.0	2019.0
Parkinson Disease	C0030567	LGALS4	3960	P56470	galectin 4	Signaling	73	0.599	0.731	2.7538e-07	0.03		1.0	3	0	2016.0	2019.0
Parkinson Disease	C0030567	LSAMP	4045	Q13449	limbic system associated membrane protein		107	0.558	0.654	0.98742	0.03		1.0	3	0	2013.0	2019.0
Parkinson Disease	C0030567	CYP4F3	4051	Q08477	cytochrome P450 family 4 subfamily F member 3	Enzyme	114	0.551	0.808	3.5413e-16	0.03		1.0	3	0	1996.0	2005.0
Parkinson Disease	C0030567	ARNTL	406	O00327	aryl hydrocarbon receptor nuclear translocator like	Transcription factor	200	0.51	0.885	0.99444	0.03		1.0	3	0	2011.0	2018.0
Parkinson Disease	C0030567	MIR195	406971		microRNA 195		180	0.496	0.769		0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	MIR19B1	406980		microRNA 19b-1		144	0.529	0.769		0.03		1.0	3	0	2014.0	2019.0
Parkinson Disease	C0030567	MIR200A	406983		microRNA 200a		156	0.519	0.808		0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	MIR29C	407026		microRNA 29c		183	0.496	0.808		0.03		1.0	3	0	2014.0	2020.0
Parkinson Disease	C0030567	MEFV	4210	O15553	MEFV innate immuity regulator, pyrin		410	0.44	0.885	1.0177e-14	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	MFAP1	4236	P55081	microfibril associated protein 1	Extracellular structure	357	0.431	0.846	0.79602	0.03		1.0	3	0	2012.0	2019.0
Parkinson Disease	C0030567	ASAH1	427	Q13510	N-acylsphingosine amidohydrolase 1	Enzyme	176	0.526	0.808	1.2588e-12	0.03		1.0	3	0	2017.0	2018.0
Parkinson Disease	C0030567	MIR135B	442891		microRNA 135b		111	0.554	0.731		0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	NDUFV2	4729	P19404	NADH:ubiquinone oxidoreductase core subunit V2		94	0.61	0.5	0.005576	0.03		0.667	3	2	1998.0	2010.0
Parkinson Disease	C0030567	NEDD9	4739	Q14511	neural precursor cell expressed, developmentally down-regulated 9		113	0.548	0.769	0.12634	0.03		1.0	3	1	2008.0	2010.0
Parkinson Disease	C0030567	NRF1	4899	Q16656	nuclear respiratory factor 1		74	0.603	0.808	0.99922	0.03		1.0	3	0	2012.0	2014.0
Parkinson Disease	C0030567	NRGN	4900	Q92686	neurogranin		69	0.608	0.615	0.4819	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	OGDH	4967	Q02218	oxoglutarate dehydrogenase		55	0.653	0.538	0.99728	0.03		1.0	3	0	1998.0	2018.0
Parkinson Disease	C0030567	OGG1	4968	O15527	8-oxoguanine DNA glycosylase		313	0.453	0.808	3.9314e-12	0.03		1.0	3	1	2010.0	2017.0
Parkinson Disease	C0030567	P2RX3	5024	P56373	purinergic receptor P2X 3	Ion channel	125	0.565	0.769	1.0318e-06	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	PEBP1	5037	P30086	phosphatidylethanolamine binding protein 1	Enzyme modulator	181	0.5	0.808	0.09167	0.03		1.0	3	0	2012.0	2018.0
Parkinson Disease	C0030567	PCNA	5111	P12004	proliferating cell nuclear antigen	Nucleic acid binding	581	0.382	0.846	0.97606	0.03		1.0	3	0	2014.0	2016.0
Parkinson Disease	C0030567	PDE4A	5141	P27815	phosphodiesterase 4A		168	0.523	0.846	0.98167	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	PRRX2	51450	Q99811	paired related homeobox 2		46	0.638	0.577	0.13959	0.03		1.0	3	0	2007.0	2017.0
Parkinson Disease	C0030567	DCDC2	51473	Q9UHG0	doublecortin domain containing 2		128	0.546	0.769	5.6611e-10	0.03		1.0	3	0	2006.0	2017.0
Parkinson Disease	C0030567	ISYNA1	51477	Q9NPH2	inositol-3-phosphate synthase 1		168	0.51	0.769	2.4934e-05	0.03		1.0	3	1	2003.0	2018.0
Parkinson Disease	C0030567	PDYN	5173	P01213	prodynorphin	Signaling	197	0.535	0.577	0.00017033	0.03		0.667	3	0	2003.0	2011.0
Parkinson Disease	C0030567	CFP	5199	P27918	complement factor properdin		108	0.573	0.692	0.68778	0.03		1.0	3	0	2010.0	2019.0
Parkinson Disease	C0030567	PIN1	5300	Q13526	peptidylprolyl cis/trans isomerase, NIMA-interacting 1		212	0.488	0.769	0.74031	0.03		1.0	3	0	2011.0	2018.0
Parkinson Disease	C0030567	PNOC	5368	Q13519	prepronociceptin	Signaling	103	0.603	0.577	0.015028	0.03		1.0	3	0	2010.0	2018.0
Parkinson Disease	C0030567	TLR9	54106	Q9NR96	toll like receptor 9		457	0.411	0.885	9.8117e-06	0.03		1.0	3	2	2013.0	2018.0
Parkinson Disease	C0030567	SEPTIN5	5413	Q99719	septin 5	Enzyme modulator	29	0.691	0.462	0.92671	0.03		1.0	3	0	2008.0	2019.0
Parkinson Disease	C0030567	PON2	5445	Q15165	paraoxonase 2		117	0.566	0.808	5.4352e-05	0.03		1.0	3	0	2000.0	2016.0
Parkinson Disease	C0030567	PPARA	5465	Q07869	peroxisome proliferator activated receptor alpha	Nuclear receptor	408	0.432	0.885	0.030182	0.03		1.0	3	0	2013.0	2019.0
Parkinson Disease	C0030567	PPARD	5467	Q03181	peroxisome proliferator activated receptor delta	Nuclear receptor	197	0.513	0.846	0.99497	0.03		1.0	3	0	2013.0	2019.0
Parkinson Disease	C0030567	ACP3	55	P15309	acid phosphatase 3	Enzyme	151	0.525	0.731	2.5463e-16	0.03		1.0	3	0	2016.0	2019.0
Parkinson Disease	C0030567	AVP	551	P01185	arginine vasopressin	Signaling	454	0.437	0.846	0.074413	0.03		0.667	3	0	2000.0	2014.0
Parkinson Disease	C0030567	SBNO1	55206	A3KN83	strawberry notch homolog 1	Enzyme	39	0.686	0.5	1.0	0.03		1.0	3	0	2007.0	2016.0
Parkinson Disease	C0030567	USP40	55230	Q9NVE5	ubiquitin specific peptidase 40	Enzyme	5	0.931	0.038	1.1506e-25	0.03		0.667	3	1	2006.0	2012.0
Parkinson Disease	C0030567	PARL	55486	Q9H300	presenilin associated rhomboid like	Enzyme	20	0.729	0.308	0.00019181	0.03		1.0	3	1	2011.0	2016.0
Parkinson Disease	C0030567	PRKAA1	5562	Q13131	protein kinase AMP-activated catalytic subunit alpha 1	Kinase	325	0.453	0.846	0.13725	0.03		1.0	3	0	2017.0	2018.0
Parkinson Disease	C0030567	PRKAA2	5563	P54646	protein kinase AMP-activated catalytic subunit alpha 2	Kinase	317	0.456	0.846	3.5282e-08	0.03		1.0	3	0	2017.0	2018.0
Parkinson Disease	C0030567	PRKAB1	5564	Q9Y478	protein kinase AMP-activated non-catalytic subunit beta 1	Kinase	296	0.46	0.846	0.0052573	0.03		1.0	3	0	2017.0	2018.0
Parkinson Disease	C0030567	PRKAR2A	5576	P13861	protein kinase cAMP-dependent type II regulatory subunit alpha		16	0.805	0.269	0.11865	0.03		1.0	3	0	2015.0	2019.0
Parkinson Disease	C0030567	PRKD1	5587	Q15139	protein kinase D1	Kinase	171	0.531	0.846	6.6485e-07	0.03		1.0	3	0	2014.0	2017.0
Parkinson Disease	C0030567	PSMC4	5704	P43686	proteasome 26S subunit, ATPase 4	Enzyme	5	0.931	0.077	0.30101	0.03		1.0	3	0	2008.0	2013.0
Parkinson Disease	C0030567	PVALB	5816	P20472	parvalbumin	Calcium-binding protein	148	0.547	0.692	0.086602	0.03		1.0	3	0	2004.0	2019.0
Parkinson Disease	C0030567	RAB1A	5861	P62820	RAB1A, member RAS oncogene family		56	0.623	0.615	0.82305	0.03		1.0	3	0	2006.0	2016.0
Parkinson Disease	C0030567	RAC1	5879	P63000	Rac family small GTPase 1	Enzyme modulator	415	0.429	0.962	0.76228	0.03		1.0	3	0	2012.0	2019.0
Parkinson Disease	C0030567	MOK	5891	Q9UQ07	MOK protein kinase	Kinase	251	0.476	0.769	8.8397e-22	0.03		1.0	3	1	2012.0	2018.0
Parkinson Disease	C0030567	ATXN8OS	6315	P0DMR3	ATXN8 opposite strand lncRNA		91	0.65	0.423		0.03		1.0	3	0	2004.0	2019.0
Parkinson Disease	C0030567	SGCA	6442	Q16586	sarcoglycan alpha	Calcium-binding protein	111	0.592	0.654	0.0027124	0.03		1.0	3	0	2017.0	2017.0
Parkinson Disease	C0030567	SIAH1	6477	Q8IUQ4	siah E3 ubiquitin protein ligase 1		54	0.631	0.538	0.69866	0.03		0.667	3	0	2006.0	2018.0
Parkinson Disease	C0030567	SKIL	6498	P12757	SKI like proto-oncogene		58	0.621	0.538	0.98512	0.03		1.0	3	0	2007.0	2016.0
Parkinson Disease	C0030567	RTN4R	65078	Q9BZR6	reticulon 4 receptor		75	0.595	0.692	0.95882	0.03		1.0	3	0	2011.0	2017.0
Parkinson Disease	C0030567	WASH6P	653440	Q9NQA3	WASP family homolog 6, pseudogene		18	0.78	0.308		0.03		1.0	3	0	2014.0	2017.0
Parkinson Disease	C0030567	SMN1	6606	Q16637	survival of motor neuron 1, telomeric	Epigenetic regulator	317	0.454	0.769	0.015829	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	SMN2	6607	Q16637	survival of motor neuron 2, centromeric		299	0.459	0.769	0.10337	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	SST	6750	P61278	somatostatin	Signaling	535	0.399	0.885	0.34128	0.03		1.0	3	0	1997.0	2019.0
Parkinson Disease	C0030567	TFR2	7036	Q9UP52	transferrin receptor 2	Enzyme	92	0.585	0.615	1.2918e-09	0.03		1.0	3	2	2011.0	2014.0
Parkinson Disease	C0030567	TIMP2	7077	P16035	TIMP metallopeptidase inhibitor 2	Enzyme modulator	404	0.425	0.846	0.78893	0.03		0.667	3	0	2003.0	2016.0
Parkinson Disease	C0030567	TRPC1	7220	P48995	transient receptor potential cation channel subfamily C member 1	Ion channel	97	0.566	0.769	0.012904	0.03		1.0	3	0	2012.0	2018.0
Parkinson Disease	C0030567	TSC2	7249	P49815	TSC complex subunit 2	Enzyme modulator	410	0.439	0.808	1.0	0.03		1.0	3	0	2008.0	2018.0
Parkinson Disease	C0030567	UBB	7314	P0CG47	ubiquitin B	Nucleic acid binding	70	0.599	0.615	0.016904	0.03		1.0	3	0	2005.0	2011.0
Parkinson Disease	C0030567	UCP2	7351	P55851	uncoupling protein 2	Transporter	235	0.493	0.808	1.5497e-10	0.03		1.0	3	0	2005.0	2014.0
Parkinson Disease	C0030567	VCAM1	7412	P19320	vascular cell adhesion molecule 1		406	0.422	0.808	0.79791	0.03		1.0	3	0	2014.0	2019.0
Parkinson Disease	C0030567	VDAC1	7416	P21796	voltage dependent anion channel 1		116	0.556	0.654	0.97266	0.03		1.0	3	1	2014.0	2019.0
Parkinson Disease	C0030567	VIPR2	7434	P41587	vasoactive intestinal peptide receptor 2	G-protein coupled receptor	58	0.619	0.692	4.718e-11	0.03		1.0	3	0	2015.0	2019.0
Parkinson Disease	C0030567	WNT1	7471	P04628	Wnt family member 1	Signaling	216	0.495	0.769	0.3263	0.03		1.0	3	0	2010.0	2019.0
Parkinson Disease	C0030567	YWHAZ	7534	P63104	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Chaperone	247	0.475	0.846	0.93965	0.03		1.0	3	0	1999.0	2018.0
Parkinson Disease	C0030567	CALCA	796	P01258;P06881	calcitonin related polypeptide alpha	Signaling	467	0.416	0.923	0.015562	0.03		1.0	3	0	2001.0	2017.0
Parkinson Disease	C0030567	RIC3	79608	Q7Z5B4	RIC3 acetylcholine receptor chaperone		6	0.839	0.231	2.1447e-06	0.03		0.667	3	5	2016.0	2017.0
Parkinson Disease	C0030567	HSD3B7	80270	Q9H2F3	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	Enzyme	42	0.7	0.385	2.694e-08	0.03		0.667	3	1	2013.0	2018.0
Parkinson Disease	C0030567	DNAJC5	80331	Q9H3Z4	DnaJ heat shock protein family (Hsp40) member C5		52	0.653	0.5	0.81216	0.03		0.667	3	0	2014.0	2018.0
Parkinson Disease	C0030567	TMEM163	81615	Q8TC26	transmembrane protein 163		12	0.805	0.269	0.039734	0.03		1.0	3	0	2016.0	2019.0
Parkinson Disease	C0030567	MAP1LC3B	81631	Q9GZQ8	microtubule associated protein 1 light chain 3 beta	Cellular structure	167	0.506	0.846	0.0019065	0.03		1.0	3	0	2018.0	2020.0
Parkinson Disease	C0030567	CASP1	834	P29466	caspase 1	Enzyme	444	0.413	0.885	3.5183e-05	0.03		1.0	3	0	2017.0	2018.0
Parkinson Disease	C0030567	NR1I2	8856	O75469	nuclear receptor subfamily 1 group I member 2	Nuclear receptor	462	0.418	0.846	7.2668e-09	0.03		1.0	3	0	2004.0	2018.0
Parkinson Disease	C0030567	SEMA5A	9037	Q13591	semaphorin 5A		85	0.61	0.731	1.5403e-05	0.03		1.0	3	2	2006.0	2014.0
Parkinson Disease	C0030567	ATG12	9140	O94817	autophagy related 12		55	0.626	0.615	4.6926e-06	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	MSC	9242	O60682	musculin		241	0.475	0.846	0.024651	0.03		1.0	3	0	2010.0	2019.0
Parkinson Disease	C0030567	PPIG	9360	Q13427	peptidylprolyl isomerase G		203	0.497	0.846	0.96292	0.03		1.0	3	0	1994.0	1996.0
Parkinson Disease	C0030567	ATG5	9474	Q9H1Y0	autophagy related 5	Transporter	282	0.462	0.885	0.97758	0.03		1.0	3	0	2013.0	2018.0
Parkinson Disease	C0030567	CD38	952	P28907	CD38 molecule	Enzyme	473	0.407	0.885	2.3129e-06	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	BAG3	9531	O95817	BAG cochaperone 3		223	0.498	0.846	0.61738	0.03		1.0	3	0	2017.0	2019.0
Parkinson Disease	C0030567	TOMM20	9804	Q15388	translocase of outer mitochondrial membrane 20	Transporter	21	0.743	0.462	0.026672	0.03		1.0	3	0	2016.0	2018.0
Parkinson Disease	C0030567	KEAP1	9817	Q14145	kelch like ECH associated protein 1		251	0.475	0.808	0.00038766	0.03		1.0	3	0	2010.0	2018.0
Parkinson Disease	C0030567	HDAC6	10013	Q9UBN7	histone deacetylase 6	Epigenetic regulator	288	0.465	0.846	1.0	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	P2RX5-TAX1BP3	100533970		P2RX5-TAX1BP3 readthrough (NMD candidate)		91	0.588	0.769		0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	MIR4519	100616231		microRNA 4519		2	0.931	0.077		0.02		0.5	2	1	2016.0	2018.0
Parkinson Disease	C0030567	PPIF	10105	P30405	peptidylprolyl isomerase F		78	0.593	0.692	0.0019919	0.02		1.0	2	0	2012.0	2018.0
Parkinson Disease	C0030567	OPN1MW3	101060233	P04001;P0DN77;P0DN78	opsin 1, medium wave sensitive 3		80	0.601	0.769		0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	ATP6AP2	10159	O75787	ATPase H+ transporting accessory protein 2	Receptor	184	0.525	0.769	0.87089	0.02		1.0	2	0	2013.0	2016.0
Parkinson Disease	C0030567	RNF41	10193	Q9H4P4	ring finger protein 41		40	0.674	0.538	0.96847	0.02		0.5	2	0	2010.0	2011.0
Parkinson Disease	C0030567	ABCA7	10347	Q8IZY2	ATP binding cassette subfamily A member 7	Transporter	70	0.644	0.577	2.1111e-55	0.02		1.0	2	1	2013.0	2015.0
Parkinson Disease	C0030567	FST	10468	P19883	follistatin	Enzyme modulator	182	0.513	0.731	0.98014	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	CEBPB	1051	P17676	CCAAT enhancer binding protein beta	Transcription factor	182	0.508	0.731	0.35809	0.02		1.0	2	0	2012.0	2017.0
Parkinson Disease	C0030567	ARL6IP5	10550	O75915	ADP ribosylation factor like GTPase 6 interacting protein 5		45	0.674	0.462	0.10381	0.02		1.0	2	0	2017.0	2018.0
Parkinson Disease	C0030567	TXNIP	10628	Q9H3M7	thioredoxin interacting protein		208	0.49	0.731	0.15918	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	MTCO2P12	107075310		MT-CO2 pseudogene 12		703	0.368	0.962		0.02		1.0	2	0	2018.0	2018.0
Parkinson Disease	C0030567	CTSC	1075	P53634	cathepsin C	Enzyme	139	0.541	0.731	1.1451e-07	0.02		1.0	2	0	1998.0	2018.0
Parkinson Disease	C0030567	NES	10763	P48681	nestin		302	0.45	0.808	1.6236e-06	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	PRSS21	10942	Q9Y6M0	serine protease 21	Enzyme	34	0.682	0.654	1.3247e-07	0.02		1.0	2	0	2016.0	2019.0
Parkinson Disease	C0030567	TMED10	10972	P49755	transmembrane p24 trafficking protein 10	Transporter	47	0.659	0.615	0.86011	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	RAB32	10981	Q13637	RAB32, member RAS oncogene family		23	0.711	0.462	0.00065061	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	CHAT	1103	P28329	choline O-acetyltransferase	Enzyme	230	0.52	0.808	5.6328e-11	0.02		1.0	2	0	1998.0	2018.0
